Statistical Division or Subdivision,LGA,Offence category,Subcategory,Score
Central Coast,Wyong,Pornography offences,,85
Central Coast,Wyong,Prostitution offences,,12
Central Coast,Wyong,Against justice procedures,Escape custody,69
Central Coast,Wyong,Against justice procedures,Breach Apprehended Violence Order,6751
Central Coast,Wyong,Against justice procedures,Breach bail conditions,3130
Central Coast,Wyong,Against justice procedures,Fail to appear,484
Central Coast,Wyong,Against justice procedures,Resist or hinder officer,3158
Central Coast,Wyong,Against justice procedures,Other offences against justice procedures,610
Central Coast,Wyong,Transport regulatory offences,,11404
Central Coast,Wyong,Other offences,,4882
Hunter,Cessnock,Homicide,Murder (a),10
Hunter,Cessnock,Homicide,Attempted murder,22
Hunter,Cessnock,Homicide,"Murder accessory, conspiracy",1
Hunter,Cessnock,Homicide,Manslaughter (a),1
Hunter,Cessnock,Assault,Domestic violence related assault,5147
Hunter,Cessnock,Assault,Non-domestic violence related assault,6252
Hunter,Cessnock,Assault,Assault Police,381
Hunter,Cessnock,Sexual offences,Sexual assault,986
Hunter,Cessnock,Sexual offences,"Indecent assault, act of indecency and other sexual offences",1046
Hunter,Cessnock,Abduction and kidnapping,,67
Hunter,Cessnock,Robbery,Robbery without a weapon,207
Hunter,Cessnock,Robbery,Robbery with a firearm,48
Hunter,Cessnock,Robbery,Robbery with a weapon not a firearm,190
Hunter,Cessnock,Blackmail and extortion,,0
Hunter,Cessnock,"Harassment, threatening behaviour and private nuisance",,4199
Hunter,Cessnock,Other offences against the person,,201
Hunter,Cessnock,Theft,Break and enter dwelling,8772
Hunter,Cessnock,Theft,Break and enter non-dwelling,7320
Hunter,Cessnock,Theft,Receiving or handling stolen goods,1060
Hunter,Cessnock,Theft,Motor vehicle theft,7058
Hunter,Cessnock,Theft,Steal from motor vehicle,7533
Hunter,Cessnock,Theft,Steal from retail store,2061
Hunter,Cessnock,Theft,Steal from dwelling,5960
Hunter,Cessnock,Theft,Steal from person,550
Hunter,Cessnock,Theft,Stock theft,142
Hunter,Cessnock,Theft,Fraud,3460
Hunter,Cessnock,Theft,Other theft,6982
Hunter,Cessnock,Arson,,2920
Hunter,Cessnock,Malicious damage to property,,17185
Hunter,Cessnock,Drug offences,Possession and/or use of cocaine,17
Hunter,Cessnock,Drug offences,Possession and/or use of narcotics,131
Hunter,Cessnock,Drug offences,Possession and/or use of cannabis,2629
Hunter,Cessnock,Drug offences,Possession and/or use of amphetamines,760
Hunter,Cessnock,Drug offences,Possession and/or use of ecstasy,26
Hunter,Cessnock,Drug offences,Possession and/or use of other drugs,115
Hunter,Cessnock,Drug offences,"Dealing, trafficking in cocaine",0
Hunter,Cessnock,Drug offences,"Dealing, trafficking in narcotics",61
Hunter,Cessnock,Drug offences,"Dealing, trafficking in cannabis",124
Hunter,Cessnock,Drug offences,"Dealing, trafficking in amphetamines",337
Hunter,Cessnock,Drug offences,"Dealing, trafficking in ecstasy",7
Hunter,Cessnock,Drug offences,"Dealing, trafficking in other drugs",27
Hunter,Cessnock,Drug offences,Cultivating cannabis,605
Hunter,Cessnock,Drug offences,Manufacture drug,25
Hunter,Cessnock,Drug offences,Importing drugs,0
Hunter,Cessnock,Drug offences,Other drug offences,550
Hunter,Cessnock,Prohibited and regulated weapons offences,,1363
Hunter,Cessnock,Disorderly conduct,Trespass,998
Hunter,Cessnock,Disorderly conduct,Offensive conduct,580
Hunter,Cessnock,Disorderly conduct,Offensive language,817
Hunter,Cessnock,Disorderly conduct,Criminal intent,262
Hunter,Cessnock,Betting and gaming offences,,21
Hunter,Cessnock,Liquor offences,,913
Hunter,Cessnock,Pornography offences,,26
Hunter,Cessnock,Prostitution offences,,0
Hunter,Cessnock,Against justice procedures,Escape custody,25
Hunter,Cessnock,Against justice procedures,Breach Apprehended Violence Order,2945
Hunter,Cessnock,Against justice procedures,Breach bail conditions,1627
Hunter,Cessnock,Against justice procedures,Fail to appear,82
Hunter,Cessnock,Against justice procedures,Resist or hinder officer,1002
Hunter,Cessnock,Against justice procedures,Other offences against justice procedures,206
Hunter,Cessnock,Transport regulatory offences,,112
Hunter,Cessnock,Other offences,,1588
Hunter,Dungog,Homicide,Murder (a),6
Hunter,Dungog,Homicide,Attempted murder,1
Hunter,Dungog,Homicide,"Murder accessory, conspiracy",0
Hunter,Dungog,Homicide,Manslaughter (a),0
Hunter,Dungog,Assault,Domestic violence related assault,432
Hunter,Dungog,Assault,Non-domestic violence related assault,476
Hunter,Dungog,Assault,Assault Police,23
Hunter,Dungog,Sexual offences,Sexual assault,120
Hunter,Dungog,Sexual offences,"Indecent assault, act of indecency and other sexual offences",124
Hunter,Dungog,Abduction and kidnapping,,3
Hunter,Dungog,Robbery,Robbery without a weapon,6
Hunter,Dungog,Robbery,Robbery with a firearm,2
Hunter,Dungog,Robbery,Robbery with a weapon not a firearm,4
Hunter,Dungog,Blackmail and extortion,,1
Hunter,Dungog,"Harassment, threatening behaviour and private nuisance",,413
Hunter,Dungog,Other offences against the person,,20
Hunter,Dungog,Theft,Break and enter dwelling,605
Hunter,Dungog,Theft,Break and enter non-dwelling,863
Hunter,Dungog,Theft,Receiving or handling stolen goods,28
Hunter,Dungog,Theft,Motor vehicle theft,266
Hunter,Dungog,Theft,Steal from motor vehicle,478
Hunter,Dungog,Theft,Steal from retail store,41
Hunter,Dungog,Theft,Steal from dwelling,520
Hunter,Dungog,Theft,Steal from person,32
Hunter,Dungog,Theft,Stock theft,58
Hunter,Dungog,Theft,Fraud,215
Hunter,Dungog,Theft,Other theft,633
Hunter,Dungog,Arson,,167
Hunter,Dungog,Malicious damage to property,,1405
Hunter,Dungog,Drug offences,Possession and/or use of cocaine,2
Hunter,Dungog,Drug offences,Possession and/or use of narcotics,0
Hunter,Dungog,Drug offences,Possession and/or use of cannabis,338
Hunter,Dungog,Drug offences,Possession and/or use of amphetamines,13
Hunter,Dungog,Drug offences,Possession and/or use of ecstasy,10
Hunter,Dungog,Drug offences,Possession and/or use of other drugs,6
Hunter,Dungog,Drug offences,"Dealing, trafficking in cocaine",0
Hunter,Dungog,Drug offences,"Dealing, trafficking in narcotics",0
Hunter,Dungog,Drug offences,"Dealing, trafficking in cannabis",109
Hunter,Dungog,Drug offences,"Dealing, trafficking in amphetamines",1
Hunter,Dungog,Drug offences,"Dealing, trafficking in ecstasy",0
Hunter,Dungog,Drug offences,"Dealing, trafficking in other drugs",0
Hunter,Dungog,Drug offences,Cultivating cannabis,117
Hunter,Dungog,Drug offences,Manufacture drug,2
Hunter,Dungog,Drug offences,Importing drugs,0
Hunter,Dungog,Drug offences,Other drug offences,59
Hunter,Dungog,Prohibited and regulated weapons offences,,168
Hunter,Dungog,Disorderly conduct,Trespass,110
Hunter,Dungog,Disorderly conduct,Offensive conduct,52
Hunter,Dungog,Disorderly conduct,Offensive language,55
Hunter,Dungog,Disorderly conduct,Criminal intent,8
Hunter,Dungog,Betting and gaming offences,,0
Hunter,Dungog,Liquor offences,,78
Hunter,Dungog,Pornography offences,,5
Hunter,Dungog,Prostitution offences,,0
Hunter,Dungog,Against justice procedures,Escape custody,0
Hunter,Dungog,Against justice procedures,Breach Apprehended Violence Order,234
Hunter,Dungog,Against justice procedures,Breach bail conditions,81
Hunter,Dungog,Against justice procedures,Fail to appear,4
Hunter,Dungog,Against justice procedures,Resist or hinder officer,37
Hunter,Dungog,Against justice procedures,Other offences against justice procedures,8
Hunter,Dungog,Transport regulatory offences,,248
Hunter,Dungog,Other offences,,265
Hunter,Gloucester,Homicide,Murder (a),1
Hunter,Gloucester,Homicide,Attempted murder,0
Hunter,Gloucester,Homicide,"Murder accessory, conspiracy",0
Hunter,Gloucester,Homicide,Manslaughter (a),0
Hunter,Gloucester,Assault,Domestic violence related assault,294
Hunter,Gloucester,Assault,Non-domestic violence related assault,399
Hunter,Gloucester,Assault,Assault Police,15
Hunter,Gloucester,Sexual offences,Sexual assault,70
Hunter,Gloucester,Sexual offences,"Indecent assault, act of indecency and other sexual offences",100
Hunter,Gloucester,Abduction and kidnapping,,2
Hunter,Gloucester,Robbery,Robbery without a weapon,8
Hunter,Gloucester,Robbery,Robbery with a firearm,5
Hunter,Gloucester,Robbery,Robbery with a weapon not a firearm,0
Hunter,Gloucester,Blackmail and extortion,,0
Hunter,Gloucester,"Harassment, threatening behaviour and private nuisance",,238
Hunter,Gloucester,Other offences against the person,,24
Hunter,Gloucester,Theft,Break and enter dwelling,352
Hunter,Gloucester,Theft,Break and enter non-dwelling,395
Hunter,Gloucester,Theft,Receiving or handling stolen goods,30
Hunter,Gloucester,Theft,Motor vehicle theft,128
Hunter,Gloucester,Theft,Steal from motor vehicle,227
Hunter,Gloucester,Theft,Steal from retail store,37
Hunter,Gloucester,Theft,Steal from dwelling,306
Hunter,Gloucester,Theft,Steal from person,22
Hunter,Gloucester,Theft,Stock theft,46
Hunter,Gloucester,Theft,Fraud,177
Hunter,Gloucester,Theft,Other theft,328
Hunter,Gloucester,Arson,,32
Hunter,Gloucester,Malicious damage to property,,945
Hunter,Gloucester,Drug offences,Possession and/or use of cocaine,0
Hunter,Gloucester,Drug offences,Possession and/or use of narcotics,2
Hunter,Gloucester,Drug offences,Possession and/or use of cannabis,138
Hunter,Gloucester,Drug offences,Possession and/or use of amphetamines,17
Hunter,Gloucester,Drug offences,Possession and/or use of ecstasy,7
Hunter,Gloucester,Drug offences,Possession and/or use of other drugs,2
Hunter,Gloucester,Drug offences,"Dealing, trafficking in cocaine",0
Hunter,Gloucester,Drug offences,"Dealing, trafficking in narcotics",0
Hunter,Gloucester,Drug offences,"Dealing, trafficking in cannabis",29
Hunter,Gloucester,Drug offences,"Dealing, trafficking in amphetamines",5
Hunter,Gloucester,Drug offences,"Dealing, trafficking in ecstasy",2
Hunter,Gloucester,Drug offences,"Dealing, trafficking in other drugs",0
Hunter,Gloucester,Drug offences,Cultivating cannabis,78
Hunter,Gloucester,Drug offences,Manufacture drug,1
Hunter,Gloucester,Drug offences,Importing drugs,0
Hunter,Gloucester,Drug offences,Other drug offences,37
Hunter,Gloucester,Prohibited and regulated weapons offences,,98
Hunter,Gloucester,Disorderly conduct,Trespass,134
Hunter,Gloucester,Disorderly conduct,Offensive conduct,173
Hunter,Gloucester,Disorderly conduct,Offensive language,75
Hunter,Gloucester,Disorderly conduct,Criminal intent,8
Hunter,Gloucester,Betting and gaming offences,,2
Hunter,Gloucester,Liquor offences,,154
Hunter,Gloucester,Pornography offences,,4
Hunter,Gloucester,Prostitution offences,,0
Hunter,Gloucester,Against justice procedures,Escape custody,1
Hunter,Gloucester,Against justice procedures,Breach Apprehended Violence Order,150
Hunter,Gloucester,Against justice procedures,Breach bail conditions,69
Hunter,Gloucester,Against justice procedures,Fail to appear,1
Hunter,Gloucester,Against justice procedures,Resist or hinder officer,37
Hunter,Gloucester,Against justice procedures,Other offences against justice procedures,7
Hunter,Gloucester,Transport regulatory offences,,22
Hunter,Gloucester,Other offences,,160
Hunter,Great Lakes,Homicide,Murder (a),8
Hunter,Great Lakes,Homicide,Attempted murder,6
Hunter,Great Lakes,Homicide,"Murder accessory, conspiracy",1
Hunter,Great Lakes,Homicide,Manslaughter (a),2
Hunter,Great Lakes,Assault,Domestic violence related assault,3552
Hunter,Great Lakes,Assault,Non-domestic violence related assault,4133
Hunter,Great Lakes,Assault,Assault Police,434
Hunter,Great Lakes,Sexual offences,Sexual assault,508
Hunter,Great Lakes,Sexual offences,"Indecent assault, act of indecency and other sexual offences",779
Hunter,Great Lakes,Abduction and kidnapping,,25
Hunter,Great Lakes,Robbery,Robbery without a weapon,178
Hunter,Great Lakes,Robbery,Robbery with a firearm,29
Hunter,Great Lakes,Robbery,Robbery with a weapon not a firearm,88
Hunter,Great Lakes,Blackmail and extortion,,1
Hunter,Great Lakes,"Harassment, threatening behaviour and private nuisance",,2385
Hunter,Great Lakes,Other offences against the person,,171
Hunter,Great Lakes,Theft,Break and enter dwelling,5881
Hunter,Great Lakes,Theft,Break and enter non-dwelling,4099
Hunter,Great Lakes,Theft,Receiving or handling stolen goods,526
Hunter,Great Lakes,Theft,Motor vehicle theft,2137
Hunter,Great Lakes,Theft,Steal from motor vehicle,4726
Hunter,Great Lakes,Theft,Steal from retail store,1611
Hunter,Great Lakes,Theft,Steal from dwelling,3755
Hunter,Great Lakes,Theft,Steal from person,353
Hunter,Great Lakes,Theft,Stock theft,109
Hunter,Great Lakes,Theft,Fraud,2979
Hunter,Great Lakes,Theft,Other theft,5849
Hunter,Great Lakes,Arson,,697
Hunter,Great Lakes,Malicious damage to property,,10551
Hunter,Great Lakes,Drug offences,Possession and/or use of cocaine,9
Hunter,Great Lakes,Drug offences,Possession and/or use of narcotics,35
Hunter,Great Lakes,Drug offences,Possession and/or use of cannabis,2448
Hunter,Great Lakes,Drug offences,Possession and/or use of amphetamines,293
Hunter,Great Lakes,Drug offences,Possession and/or use of ecstasy,63
Hunter,Great Lakes,Drug offences,Possession and/or use of other drugs,101
Hunter,Great Lakes,Drug offences,"Dealing, trafficking in cocaine",2
Hunter,Great Lakes,Drug offences,"Dealing, trafficking in narcotics",3
Hunter,Great Lakes,Drug offences,"Dealing, trafficking in cannabis",170
Hunter,Great Lakes,Drug offences,"Dealing, trafficking in amphetamines",111
Hunter,Great Lakes,Drug offences,"Dealing, trafficking in ecstasy",18
Hunter,Great Lakes,Drug offences,"Dealing, trafficking in other drugs",14
Hunter,Great Lakes,Drug offences,Cultivating cannabis,456
Hunter,Great Lakes,Drug offences,Manufacture drug,9
Hunter,Great Lakes,Drug offences,Importing drugs,1
Hunter,Great Lakes,Drug offences,Other drug offences,400
Hunter,Great Lakes,Prohibited and regulated weapons offences,,840
Hunter,Great Lakes,Disorderly conduct,Trespass,1167
Hunter,Great Lakes,Disorderly conduct,Offensive conduct,1001
Hunter,Great Lakes,Disorderly conduct,Offensive language,949
Hunter,Great Lakes,Disorderly conduct,Criminal intent,138
Hunter,Great Lakes,Betting and gaming offences,,6
Hunter,Great Lakes,Liquor offences,,2334
Hunter,Great Lakes,Pornography offences,,26
Hunter,Great Lakes,Prostitution offences,,2
Hunter,Great Lakes,Against justice procedures,Escape custody,47
Hunter,Great Lakes,Against justice procedures,Breach Apprehended Violence Order,1856
Hunter,Great Lakes,Against justice procedures,Breach bail conditions,1383
Hunter,Great Lakes,Against justice procedures,Fail to appear,67
Hunter,Great Lakes,Against justice procedures,Resist or hinder officer,1150
Hunter,Great Lakes,Against justice procedures,Other offences against justice procedures,111
Hunter,Great Lakes,Transport regulatory offences,,13
Hunter,Great Lakes,Other offences,,2080
